mol_id,smiles
TOX1576,CC(=O)C(Cl)Cl
TOX24633,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1
TOX24638,CCO[Si](C)(CCCOCC1CO1)OCC
TOX28732,CCNC(=O)NCCCOc1cccc(CN2CCCCC2)c1
TOX28731,CC(=O)SCC(CC(=O)c1ccc(C)cc1)C(=O)O
TOX28736,CC(C)(C)NC[C@H](O)c1ccc(O)cc1Cl
TOX27818,CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1
TOX5640,Cc1cccc(C(=O)O)c1[N+](=O)[O-]
TOX27811,CCN(CC)CCOC(=O)C1(c2ccccc2)CCCC1.CCN(CC)CCOC(=O)C1(c2ccccc2)CCCC1.O=S(=O)(O)CCS(=O)(=O)O
TOX4810,Clc1ccccn1
TOX6240,CCC(=O)/C=C/C1C(C)=CCCC1(C)C
TOX2008,CCCCCCCCCO
TOX2009,CCCCCCNCCCCCC
TOX2004,ClCCCCl
TOX2006,CCCCCCOC(C)=O
TOX32,NC(=O)CCCCC(N)=O
TOX39,CNC(=O)ON=CC(C)(C)SC
TOX18926,O=C(OCc1ccccc1)C(=O)OCc1ccccc1
TOX25300,CCCCN(CCCC)CCCOC(=O)c1ccc(N)cc1
TOX12129,CC(C)(c1cc(Br)c(OCC(Br)CBr)c(Br)c1)c1cc(Br)c(OCC(Br)CBr)c(Br)c1
TOX6652,CC(C)c1ccc(C(C)C)cc1
TOX833,COC(C)(C)C
TOX834,COC(N)=O
TOX26073,O=C(O)CNC(=O)c1ccccc1
TOX29098,CC(C)(C)OC(=O)N1C[C@@H](F)C[C@H]1C(=O)O
TOX4873,Oc1nc(O)nc(O)n1
TOX4878,N#CC1(O)CCCCC1
TOX3064,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2
TOX7528,CSCCC=O
TOX7529,CC(C)(C)C(=O)Cl
TOX7832,CCCCC(CC)COC(=O)Cl
TOX7525,CCCCC(CC)C(=O)[O-]
TOX7520,COCN(COC)c1nc(N(COC)COC)nc(N(COC)COC)n1
TOX7521,O=Cc1cccc(Br)c1
TOX7835,C/C=C/C=C/C(=O)[O-]
TOX27659,CCCCCC=CCC(=O)OC
TOX27651,CCCCCCCCC(=O)OCC
TOX27654,CCCCCCCCCCCCCC(=O)OCC
TOX27657,CCCCCCC(O)CCOC(C)=O
TOX27656,C=CCCCCCCCCO
TOX26388,Nc1nc(N)c(-c2ccccc2)s1
TOX27039,CCNC(=O)C1CC(C)CCC1C(C)C
TOX27038,CCc1ccc(O)c(OC)c1
TOX27037,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F
TOX27033,OC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@@H]8[C@@H](CO)O[C@H](O[C@@H]9[C@@H](CO)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]9O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O
TOX27032,CC1=CC[C@@]23CC1C(C)(C)[C@@H]2CC[C@H]3C
TOX4674,CCCCOCCOCCSC#N
TOX27285,O=C(N[C@H]1CN2CCC1CC2)c1ccc2c(c1)OCCO2
TOX2829,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)C(C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
TOX2822,CCn1nc(C(=O)O)c(=O)c2cc3c(cc21)OCO3
TOX1902,BrCCCBr
TOX1294,O=S1(=O)CC=CC1
TOX5603,CNCCO
TOX26925,C[N+]1(CC2COC(c3ccccc3)(C3CCCCC3)O2)CCCCC1
TOX22232,CC(CC=O)CCCC(C)(C)O
TOX16690,CC(C)COC(=O)CCCCC(=O)OCC(C)C
TOX7542,O=[N+]([O-])c1ccc(C=Cc2ccc([N+](=O)[O-])cc2S(=O)(=O)[O-])c(S(=O)(=O)[O-])c1
TOX28929,COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1
TOX13754,C=CC(=O)NC(C)C
TOX3529,Cc1c(C(C)C)c(=O)n(-c2ccccc2)n1C
TOX4515,[O-][Cl+3]([O-])([O-])[O-]
TOX1032,CCCN(CCC)N=O
TOX1749,C[N+](C)(C)C
TOX24401,N=C(N)c1ccccc1
TOX24400,CCCC[N+](CCCC)(CCCC)CCCC
TOX3298,CC1CCN(CCCC(=O)c2ccc(F)cc2)CC1
TOX24407,Cc1ccc(C(N)=O)cc1N
TOX24409,ClCCCCCCCl
TOX3293,CN1C(=O)CC(C)(c2ccccc2)C1=O
TOX3295,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O
TOX24743,Nc1ccc2cc(S(=O)(=O)O)ccc2c1
TOX134,O=Cc1ccccc1
TOX5849,C=CCCC
TOX21575,O=C(O)COCC(=O)O
TOX29381,C[N+](C)(C)CC(=O)[O-]
TOX29382,CCN(CC)CCNC(=O)c1ccc(N)cc1
TOX5593,CNC(=O)N(c1ccccc1)c1ccccc1
TOX1359,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1
TOX22006,CCCCCCCC(=O)OCC(O)CO
TOX7997,C=CCN(CC=C)C(=O)C(Cl)Cl
TOX20714,Cc1cc(C)c(N)c(Cl)c1
TOX24878,CCCOC(=O)c1ccccc1
TOX24879,CCC(CO)(CO)COCC(CC)(CO)CO
TOX24655,CCCCCCCCCCCC(=O)N(CC)CC
TOX24873,C=CC(=O)OCCCCCCCCCC
TOX24875,CN(C)CCN(C)CCO
TOX24877,CCC(=O)Nc1cccc(N)c1
TOX28715,CCC(C(=O)NC(=O)NC(C)=O)c1ccccc1
TOX28714,O=C(O)CNC(=O)CNC(=O)CNC(=O)CSC(=O)c1ccccc1
TOX28716,CCN1CCN(c2cc(-c3ccc(F)cc3)c3c(n2)CCCCCC3)CC1
TOX28719,CCOC(=O)OCC/C(SC(=O)OCC)=C(\C)N(C=O)Cc1cnc(C)nc1N
TOX27832,OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2
TOX6223,CC(=O)OCCOCCOCCOC(C)=O
TOX9904,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
TOX6132,Cn1cnc2c1c(=O)[nH]c(=O)n2C
TOX1134,NC(=S)Nc1ccccc1
TOX14,CC(=O)C1C(=O)C=C(C)OC1=O
TOX721,CCOc1ccc(NC(=O)CC(C)O)cc1
TOX5102,CN(C)CCCN
TOX7174,OC1CCCc2ccccc21
TOX859,CC(O)c1ccccc1
TOX583,C=CC(=O)OCC
TOX856,CN1CCCC1=O
TOX1828,CC(=O)c1ccccc1
TOX1821,CCC(C)=NO
TOX1820,CCC(=O)CC
TOX3089,CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC
TOX8974,CCCC(C)CC
TOX7507,COC(=O)c1cccc(Cl)c1
TOX7504,C=C(C)C(=O)OCCN(C)C
TOX7502,Cc1cc(=O)nc(C(C)C)[nH]1
TOX7503,CC1(C)CC(N)CC(C)(CN)C1
TOX7500,CCCOCCO
TOX7509,COC(=O)CCS
TOX25673,CC[C@H](NC(C)C)[C@H](O)c1ccc(O)c2[nH]c(=O)ccc12
TOX27637,CCCCCC/C=C/C(=O)OC
TOX27636,CCCCCCCC(=O)OCCCCCC
TOX27633,CCCCCCCC/C=C\CCCCCCCC(=O)OCC
TOX25674,CCN(CC)CC1CCCCN1CC(=O)N1c2ccccc2C(=O)Nc2cccnc21
TOX25677,CC1(C)Oc2ccc(C#N)cc2[C@@H](N2CCCC2=O)[C@@H]1O
TOX29317,CCCN1C=CN(C)C1
TOX2842,Cc1ncsc1CCCl
TOX2846,Clc1cccc(Cl)c1N=C1NCCN1
TOX281,O=[N+]([O-])c1ccc(Cl)cc1
TOX9755,CCCCOC(O)CC
TOX6031,CCCCCCCCCCCCOS(=O)(=O)[O-]
TOX6033,CCCCC(CC)COS(=O)(=O)[O-]
TOX2906,CC(C)(CO)[C@@H](O)C(=O)NCCCO
TOX27413,C/C=C(\C)C(=O)OC/C=C(\C)CCC=C(C)C
TOX27142,CC1=C(C=O)C(C)(C)CCC1
TOX22210,CN1CCCC1
TOX25847,CC(=O)Nc1cc([As](=O)(O)O)ccc1O
TOX14229,CCCCCC1CCC(=O)O1
TOX4681,CC(C)(C)N
TOX7344,O=C1CCCCCCCCCCCN1
TOX18686,Cc1cccc(C(=O)O)c1O
TOX7341,NCCOCCO
TOX7342,[S-]c1ccccc1
TOX7343,CC(C)(C)c1ccc(C=O)cc1
TOX3508,CC[N+]1(CC)CCC(=C(c2ccccc2)c2ccccc2)C1C
TOX4538,O=C1c2c(O)cccc2Cc2cccc(O)c21
TOX2279,CC(C)c1cccc(C(C)C)c1N
TOX17757,C=CCCCCCCCCC=O
TOX24462,CCO[Si](OCC)(OCC)c1ccccc1
TOX24469,NCCOS(=O)(=O)O
TOX25597,NC(CO)(CO)CO.O=C(c1ccccc1)c1ccc2n1CC[C@H]2C(=O)O
TOX445,CC(C)OC(=O)COc1ccc(Cl)cc1Cl
TOX444,CCCCC(CC)COC(=O)COc1ccc(Cl)cc1Cl
TOX443,CCCCOC(=O)COc1ccc(Cl)cc1Cl
TOX442,O=C(O)COc1ccc(Cl)cc1Cl
TOX448,CC(Cl)CCl
TOX22451,Clc1sc(Cl)c(Cl)c1Cl
TOX4991,ClC=CCl
TOX4997,O=[N+]([O-])c1cccc(Cl)c1Cl
TOX26739,NCCNC(=O)c1ccc(Cl)cn1
TOX26734,Nc1c2c(nc3c1CCC3)CCCC2
TOX26229,CC(=O)Nc1ccc(OCCOCCOc2ccc(NC(C)=O)cc2)cc1
TOX5326,[Fe+2].c1cc[cH-]c1.c1cc[cH-]c1
TOX4051,CC(C)OP(C)(=O)OC(C)C
TOX4055,COS(=O)(=O)OC
TOX4057,CNC
TOX27178,CCCCCCCCCCCCCCCCCC(=O)OCC(CC)CCCC
TOX27173,CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)[O-]
TOX27176,C1=CCC(c2ccccc2)CC1
TOX27177,Cc1ccc(-c2ccccc2)cc1
TOX9289,CCC12COCN1COC2
TOX28885,CC(=O)NC(CCC(N)=O)C(=O)O
TOX24858,c1ccc(-c2nnn[nH]2)cc1
TOX28777,CN(C)C(=O)CNC(=O)Cc1ccccc1
TOX28770,CN(CC1(C)CCCO1)S(=O)(=O)c1ccc(Cl)c(S(N)(=O)=O)c1
TOX5012,C=C(Cl)CCl
TOX5010,OC(CCl)CCl
TOX5014,ClC(Cl)c1ccccc1
TOX2049,Cc1cc(C)c(O)c(C)c1
TOX5018,C1CCC(NC2CCCCC2)CC1
TOX25107,O=C(O)CP(=O)(O)O
TOX79,O=C([O-])CC(O)(CC(=O)O)C(=O)[O-]
TOX74,NCC1(CC(=O)O)CCCCC1
TOX877,Cc1cccc2ccccc12
TOX7159,O=C1CCCCCO1
TOX7158,O=C(Cl)OCc1ccccc1
TOX3314,CC(C)(C(=O)c1cccnc1)c1cccnc1
TOX4573,c1ccc2[nH]cnc2c1
TOX1808,Cc1ccccc1O
TOX1801,CCN(CCO)c1cccc(C)c1
TOX1800,CCN(CC)c1ccccc1
TOX4836,CC(C)=CCCC(C)=CC=O
TOX4835,O=CC=Cc1ccccc1
TOX27665,CC(C)SCc1ccco1
TOX300,ClC(Br)Br
TOX308,ClCc1ccccn1
TOX309,ClCc1cccnc1
TOX26038,C/C=C1\[C@H]2C=C(C)C[C@]1(N)c1ccc(=O)[nH]c1C2
TOX27617,COc1cc(C)ccc1C(C)C
TOX27618,CC1CCC(=O)O1
TOX28506,N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H](N)C12CC3CC(CC(O)(C3)C1)C2
TOX21815,CC1CC(O)CC(C)(C)C1
TOX6783,NC(=O)NC(N)=O
TOX6781,CC(C)CC(C)O
TOX6789,CC1COC(=O)O1
TOX2868,NS(=O)(=O)c1cc2c(cc1Cl)NC(CC1CCCC1)NS2(=O)=O
TOX26699,CC(C)NCC(O)c1ccccc1Cl
TOX26693,COc1ccc(C(=O)NCc2ccc(OCCN(C)C)cc2)cc1OC
TOX24854,C=COCCCCO
TOX666,OCC1CO1
TOX20342,CCC1COC(=O)O1
TOX20691,Cc1cc(C(C)(C)C)c(O)c(C)c1CC1=NCCN1
TOX20693,CC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C
TOX22276,CCOc1ccccc1O
TOX22279,CC(C)C(=O)OCCOc1ccccc1
TOX1807,Cc1ccccc1C
TOX28966,C[C@@H](C1=C(CCN(C)C)Cc2ccccc21)c1ccccn1
TOX24999,CC1=NN(c2ccc(S(=O)(=O)O)cc2)C(=O)C1
TOX24998,FC(F)(F)C(=NOCC1OCCO1)c1ccc(Cl)cc1
TOX1254,C=CCc1ccc2c(c1)OCO2
TOX1255,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1
TOX1256,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O
TOX1251,O=C1NS(=O)(=O)c2ccccc21
TOX7367,C=CCCCCCCCCCCCC
TOX7360,NC(=O)[O-]
TOX7361,CC(C)(CO)COC(=O)C(C)(C)CO
TOX27952,CC(=O)C=CC1=C(C)CCCC1(C)C
TOX1780,CCOC(=O)c1ccccc1C(=O)OCC
TOX1789,NC(=O)c1ccccc1N
TOX683,ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl
TOX7092,CCOC(=O)CC(C)=O
TOX680,C1CCCNCCC1
TOX7096,CC(C)(O)C#CC(C)(C)O
TOX7098,O=C(O)CNCC(=O)O
TOX21125,[Na]I
TOX24332,C[N+](C)(C)Cc1ccccc1
TOX24447,COc1cccc(C=O)c1
TOX24446,C[N+](C)(C)CC(=O)O
TOX24441,Cc1ccccc1CCl
TOX24443,CCCC[N+](C)(CCCC)CCCC
TOX29354,BrCCCCCBr
TOX468,O=CNNC=O
TOX463,CCN(C=O)CC
TOX462,OCCOCCO
TOX6418,CC(C)(C)S
TOX2521,CC(C)CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC(C)C
TOX2520,CCOC(=O)C=Cc1ccccc1
TOX2529,COC(=O)c1ccc(O)cc1
TOX3125,NCCc1cnc[nH]1
TOX5809,CCCCCCCC/C=C\CCCCCCCC(=O)O
TOX3122,CN1C(=O)C(C)(C2=CCCCC2)C(=O)N=C1O
TOX25312,CC1=C2[C@H]3OC(=O)[C@@H](C)[C@@H]3CC[C@@]2(C)C=CC1=O
TOX25310,C[C@H]1[C@H]2[C@H](C[C@H]3[C@@H]4CC[C@H]5C[C@@H](O)CC[C@]5(C)[C@H]4CC(=O)[C@@]32C)O[C@]12CC[C@@H](C)CO2
TOX26200,COc1ccc(Cc2cnc(N)nc2N)cc1OC
TOX4316,CNC(=O)N(C)c1nnc(C(C)(C)C)s1
TOX4317,Cc1[nH]c(=O)n(C(C)(C)C)c(=O)c1Cl
TOX4311,O=C([O-])CF
TOX7959,CCCCOCC(C)OCC(C)O
TOX4031,Cl/C=C/Cl
TOX889,C=Cc1ccc(C)cc1
TOX4038,OCC(Cl)CCl
TOX3323,OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO
TOX6446,CCCCOC(=O)CC(CC(=O)OCCCC)(OC(C)=O)C(=O)OCCCC
TOX21460,O=C(O)c1cccc(C(F)(F)F)c1
TOX7122,COC(OC)OC
TOX27404,CN(C)CCN(Cc1cccs1)c1ccccn1.CN(C)CCN(Cc1cccs1)c1ccccn1
TOX27156,CCC(C)C1N=C(C)C(C)S1
TOX27155,N[C@@H](CCC(=O)O)C(=O)O
TOX27152,CCCC(=O)OC/C=C(\C)CCC=C(C)C
TOX24830,CC(C)(O)C(=O)c1ccccc1
TOX24831,CCCCOC(=O)C(C)OC(=O)CCC
TOX24832,COC(C=C(C)CCC=C(C)C)OC
TOX21809,O=S(=O)(O)NC1CCCCC1
TOX2975,Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O
TOX1440,C=CN1CCCC1=O
TOX9279,O=C(O)c1cc(C(=O)O)cc(S(=O)(=O)[O-])c1
TOX2605,CC(C)CCON=O
TOX14383,COc1cc(OC)nc(Oc2cccc(Oc3nc(OC)cc(OC)n3)c2C(=O)[O-])n1
TOX14382,CC(C)=C[C@@H]1[C@@H](C(=O)OCc2coc(Cc3ccccc3)c2)C1(C)C
TOX25128,COc1ccc(C(=O)N2CCCC2=O)cc1
TOX28751,CCCOC(=O)Cc1ccc(OCC(=O)N(CC)CC)c(OC)c1
TOX28752,Cc1nc([N+](=O)[O-])cn1-c1ccc([N+](=O)[O-])cc1
TOX899,O=[Mo](=O)=O
TOX7133,CCOP(=S)(S)OCC
TOX4814,Cc1ccc(Cl)cc1
TOX1866,CCCCOC(=O)CCCCC(=O)OCCCC
TOX1864,Cc1ccc(O)c(C)c1
TOX1868,Cc1ccc(C)cc1
TOX25746,COc1ccc(S(=O)(=O)N2c3ccc(Cl)cc3[C@@](O)(c3ccccc3Cl)[C@H]2C(=O)N2CCC[C@@H]2C(N)=O)cc1OC
TOX321,C[NH+](C)CCC(c1ccc(Cl)cc1)c1ccccn1
TOX322,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1
TOX325,C[N+](C)(C)CCO
TOX326,O=[Cr]O[Cr]=O
TOX329,CN/C(=N\C#N)NCCSCc1nc[nH]c1C
TOX7544,CC=CC(=O)O
